Method,Seed,Rows,FeasibleBenchmarkRows,ProvedInfeasibleRows,PassRateFeasibleBenchmark,PassRateAllRows,CertifiedOptimalRows,CertifiedOptimalGapMean,CertifiedOptimalGapLowerMean,CertifiedOptimalGapUpperMean,CertifiedOptimalReferenceIntervalMean,CertifiedOptimalReferenceIntervalMax,CertifiedOptimalReferenceRelativeIntervalMax,CertifiedOptimumAttainmentRate,UnresolvedFeasibleRows,UnresolvedGapLowerMean,UnresolvedGapUpperMean,AllFeasibleGapLowerMean,AllFeasibleGapUpperMean,FalseFeasibleOnProvedInfeasible
Adaptive Repair (64 completions),101,894,878,16,0.6993166287015945,0.6868008948545862,847,0.5402306368022322,0.5402306368022322,0.5402307157829865,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.0755608028335301,31,0.49364441819569504,0.8620704527954373,0.5385857930928897,0.5515940777959547,0
Adaptive Repair (64 completions),202,903,883,20,0.43941109852774635,0.42967884828349945,859,0.7331393645562594,0.7331393645562594,0.7331394086326259,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.05471478463329453,24,1.0,1.0,0.7403926547608457,0.7403926976392137,0
Adaptive Repair (64 completions),303,875,860,15,0.6395348837209303,0.6285714285714286,831,0.8064664031306852,0.8064664031306852,0.8064664812128485,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.0,29,0.8554323234194182,0.9369698736391697,0.8081175795125145,0.8108671770039686,0
Base (Best-of-64),101,894,878,16,0.8462414578587699,0.831096196868009,847,0.33304531239327073,0.33304531239327073,0.3330454077119214,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.28807556080283353,31,0.3483157874362302,0.8350726001881106,0.33358447495173515,0.3507707413870488,0
Base (Best-of-64),202,903,883,20,0.8595696489241224,0.840531561461794,859,0.32614650555269453,0.32614650555269453,0.32614659612703556,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.28987194412107103,24,0.24835439904783785,0.8349879092391425,0.32403211081190564,0.3399769375932763,0
Base (Best-of-64),303,875,860,15,0.8767441860465116,0.8617142857142858,831,0.29445020054342796,0.29445020054342796,0.2944503129259665,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.3212996389891697,29,0.28842360359173347,0.7964634772738483,0.2942469780880801,0.31137866381676715,0
BnB,101,894,878,16,0.9874715261958997,0.9697986577181208,847,0.18383077407662257,0.18383077407662257,0.183830847003611,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.538370720188902,31,0.6484513253136227,0.8794505485484639,0.2002353721271317,0.20839145150006932,0
BnB,202,903,883,20,0.9886749716874292,0.9667774086378738,859,0.16187312015624644,0.16187312015624644,0.1618731987676161,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.5750873108265425,24,0.7697545801926301,0.9333055035060732,0.17839537954568382,0.18284078122936348,0
BnB,303,875,860,15,0.9906976744186047,0.9737142857142858,831,0.1885036870587049,0.1885036870587049,0.18850377457450213,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.542719614921781,29,0.666706155827012,0.870060499522025,0.20462911914507806,0.2114865013459884,0
CP-SAT,101,894,878,16,1.0,0.9821029082774049,847,1.0560237094890552e-17,1.0560237094890552e-17,1.0456270119090772e-07,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,1.0,31,0.0023984448450532687,0.7555650563347774,8.468313234243768e-05,0.026677227005678823,0
CP-SAT,202,903,883,20,1.0,0.9778516057585825,859,9.31741757261123e-18,9.31741757261123e-18,9.926505718405531e-08,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,1.0,24,0.005073195858575319,0.7845446288731796,0.00013788980816060664,0.02132407288974001,0
CP-SAT,303,875,860,15,1.0,0.9828571428571429,831,7.123475530178887e-18,7.123475530178887e-18,1.2048883738190964e-07,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,1.0,29,0.003283489648255472,0.7274979719750327,0.00011072232534815651,0.024532024783139324,0
Frozen Hero,101,894,878,16,0.9943052391799544,0.9765100671140939,847,0.03061200095348193,0.03061200095348193,0.030612104192912076,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.6080283353010626,31,0.23555327603770493,0.8029656981961516,0.03784796852479276,0.05788199190828841,0
Frozen Hero,202,903,883,20,1.0,0.9778516057585825,859,0.03860968175707477,0.03860968175707477,0.03860977982283837,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.4668218859138533,24,0.07639728720427431,0.7982347291271639,0.039636751440803863,0.059256437561574296,0
Frozen Hero,303,875,860,15,0.9906976744186047,0.9737142857142858,831,0.034727096133844185,0.034727096133844185,0.03472721576566492,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.5282791817087846,29,0.10150139661814275,0.7566716405588667,0.03697878766180309,0.0590718533459008,0
Greedy,101,894,878,16,0.9988610478359908,0.9809843400447428,847,0.2544838455974903,0.2544838455974903,0.25448392427743777,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.2077922077922078,31,0.03376564482099181,0.7699937291579549,0.24669083395276198,0.2726852955203717,0
Greedy,202,903,883,20,1.0,0.9778516057585825,859,0.25545509997100596,0.25545509997100596,0.25545517682899566,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.23282887077997672,24,0.04326037550592623,0.7980218727849776,0.2496876329413775,0.27020217649257844,0
Greedy,303,875,860,15,1.0,0.9828571428571429,831,0.2396314485845774,0.2396314485845774,0.2396315423437681,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.24428399518652227,29,0.04083520886570124,0.7450257114455012,0.23292785445452227,0.25667390385998934,0
Hand-written SA,101,894,878,16,0.9681093394077449,0.9507829977628636,847,0.028454123558613872,0.028454123558613872,0.028454227694807325,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.7981109799291618,31,0.7433329686969853,0.8857578472588611,0.05369472059652904,0.05872348988898234,0
Hand-written SA,202,903,883,20,0.9716874292185731,0.9501661129568106,859,0.026303364140940852,0.026303364140940852,0.026303462919785157,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.8020954598370198,24,0.8756112383810842,0.9462657314626585,0.04938760987340227,0.05130809989037288,0
Hand-written SA,303,875,860,15,0.9686046511627907,0.952,831,0.028295947401889142,0.028295947401889142,0.028296067437915635,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.7966305655836342,29,0.6919811338899737,0.8690509063608486,0.05067602927183618,0.056647102703921516,0
Hero trained without Hypothesize (step 120),101,894,878,16,1.0,0.9821029082774049,847,0.03753902537236387,0.03753902537236387,0.03753912889951518,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.6186540731995277,31,0.06651105208599085,0.766975568129003,0.03856195570052154,0.0632937184395085,0
Hero trained without Hypothesize (step 120),202,903,883,20,1.0,0.9778516057585825,859,0.0654910212003341,0.0654910212003341,0.06549111893277369,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.3969732246798603,24,0.09211924130081985,0.8061465796523327,0.06621477803205739,0.08562218468279566,0
Hero trained without Hypothesize (step 120),303,875,860,15,0.9267441860465117,0.9108571428571428,831,0.12717924803400651,0.12717924803400651,0.12717936739671806,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.28399518652226236,29,0.6509418037451873,0.8779468653926431,0.1448410086335696,0.1524959458175109,0
Hero trained without Hypothesize (step 150),101,894,878,16,1.0,0.9821029082774049,847,0.039391546712753155,0.039391546712753155,0.039391650234967344,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.6115702479338843,31,0.06522386697807953,0.7668750373154462,0.04030362180184783,0.06507728235284302,0
Hero trained without Hypothesize (step 150),202,903,883,20,1.0,0.9778516057585825,859,0.05772562314227601,0.05772562314227601,0.05772572059911999,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.39930151338766007,24,0.08599960608716513,0.8011732030284143,0.05849411191994004,0.07793267368893093,0
Hero trained without Hypothesize (step 150),303,875,860,15,0.9267441860465117,0.9108571428571428,831,0.13134245306900133,0.13134245306900133,0.1313425723360935,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.28279181708784595,29,0.6463518921987936,0.877284769202408,0.14870905043500596,0.15649643711414365,0
Hero trained without Hypothesize (step 180),101,894,878,16,0.9236902050113895,0.9071588366890381,847,0.17798787767828467,0.17798787767828467,0.1779879798939384,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.5053128689492326,31,0.05515750012874025,0.7670087332561532,0.17365104202448528,0.19878484020627174,0
Hero trained without Hypothesize (step 180),202,903,883,20,1.0,0.9778516057585825,859,0.060939996684133746,0.060939996684133746,0.06094009421981353,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.4062863795110594,24,0.08698311835604074,0.8012757587210864,0.061647850500810716,0.0810624678868923,0
